,total_cases,city,year,month,week,day,vegetation_ne,vegetation_nw,vegetation_se,vegetation_sw,satellite_precipiatation,current_precipitation,forecast_precipitation,current_temperature,forecast_mean_temperature,forecast_avg_temperature,current_max_temperature,current_min_temperature,forecast_max_temperature,forecast_min_temperature,current_diurnal_temperature_range,forecast_diurnal_temperature_range,current_specific_humidity,forecast_dew_point_temperature,forecast_relative_humidity,cases_zscore,current_temperature_outlier,current_precipitation_outlier,current_specific_humidity_outlier,date,season,log_cases,temp_precip_interaction,is_outbreak,cases_lag,cases_3mo_avg,quarter,temp_category,rain_category,humidity_category
14,23,0,1990,8,32,6,0.1422935374167987,0.06433333,0.1644429,0.1388571,28.8,11.4,20.0,28.2,300.3914286,300.4785714,33.3,23.3,302.5,298.8,7.557142857,2.328571429,17.95,296.5328571,79.65,-0.03843730860793326,0,0,0,1990-08-06,dry_season,3.1780538303479458,321.48,0,17.0,15.333333333333334,3,Hot,Low,High
15,13,0,1990,8,33,13,0.1422935374167987,0.1280333,0.2069571,0.1682429,90.75,44.7,101.9,28.04285714,299.9585714,299.9571429,32.8,22.8,302.6,298.5,6.685714286,1.857142857,18.51571429,297.0357143,84.17857143,-0.26789496065037227,0,0,0,1990-08-13,dry_season,2.6390573296152584,1253.515714158,0,23.0,17.666666666666668,3,Hot,High,High
16,21,0,1990,8,34,20,0.1902333,0.1688,0.1676571,0.1722857,32.4,5.4,25.9,28.34285714,300.3328571,300.4142857,33.3,23.3,302.5,298.1,7.014285714,2.485714286,18.17428571,296.7285714,80.94714286,-0.08432883901642106,0,0,0,1990-08-20,dry_season,3.091042453358316,153.05142855600002,0,13.0,19.0,3,Hot,Low,High
17,28,0,1990,8,35,27,0.2529,0.33075,0.2641714,0.2843143,40.94,13.7,39.8,28.65714286,300.1185714,300.2214286,32.2,24.4,302.2,298.7,6.528571429,1.9,18.51571429,297.0171429,83.34857143,0.07629151741328624,0,0,0,1990-08-27,dry_season,3.367295829986474,392.602857182,0,21.0,20.666666666666668,3,Hot,Medium,High
18,24,0,1990,9,36,3,0.2354,0.200025,0.2838167,0.2304429,28.86,14.2,30.4,28.32857143,300.53,300.6357143,32.8,23.3,303.8,298.0,7.614285714,3.471428571,17.56,296.1171429,77.17285714,-0.015491543403689363,0,0,0,1990-09-03,dry_season,3.2188758248682006,402.265714306,0,28.0,24.333333333333332,3,Hot,Medium,Medium
19,20,0,1990,9,37,10,0.1279667,0.4371,0.1234,0.1482833,64.56,25.9,24.18,28.68571429,300.6742857,300.7928571,33.9,24.4,302.9,299.0,8.057142857,2.9,18.77714286,297.1928571,81.55142857,-0.10727460422066497,0,0,0,1990-09-10,dry_season,3.044522437723423,742.960000111,0,24.0,24.0,3,Hot,Medium,High
20,40,0,1990,9,38,17,0.19635,0.1824333,0.2548286,0.3056857,143.73,3.3,36.6,28.24285714,299.8571429,299.9,32.8,23.9,301.7,298.7,8.114285714,1.742857143,17.89285714,296.4314286,81.63714286,0.35164069986421304,0,0,0,1990-09-17,dry_season,3.713572066704308,93.201428562,1,20.0,28.0,3,Hot,Low,High
21,27,0,1990,9,39,24,0.1161,0.2609,0.1994429,0.2442167,51.39,15.8,16.4,28.34285714,300.4271429,300.6,32.8,24.4,302.4,299.1,7.728571429,2.257142857,17.46857143,296.0285714,77.04857143,0.05334575220904234,0,0,0,1990-09-24,dry_season,3.332204510175204,447.817142812,0,40.0,29.0,3,Hot,Medium,Medium
22,42,0,1990,10,40,1,0.22855,0.18975,0.2124857,0.2011857,31.18,11.7,36.1,28.77142857,300.7757143,300.85,33.3,23.9,303.3,299.1,8.028571429,2.9,18.18,296.6642857,78.52,0.39753223027270085,0,0,0,1990-10-01,dry_season,3.7612001156935624,336.625714269,1,27.0,36.333333333333336,4,Hot,Low,High
23,33,0,1990,10,41,8,0.17115,0.06755,0.1794667,0.1577167,51.42,57.7,132.4,28.62857143,299.8571429,299.9428571,33.3,24.4,301.8,298.1,7.314285714,2.571428571,18.51285714,296.9285714,84.11,0.19102034343450575,0,0,0,1990-10-08,dry_season,3.5263605246161616,1651.868571511,1,42.0,34.0,4,Hot,High,High
24,43,0,1990,10,42,15,0.1422935374167987,0.0702,0.1816167,0.16575,143.55,61.8,279.6,27.62857143,299.1957143,299.3071429,32.8,23.3,301.5,297.5,7.4,1.871428571,18.11571429,296.5442857,85.62142857,0.42047799547694475,0,0,0,1990-10-15,dry_season,3.784189633918261,1707.445714374,1,33.0,39.333333333333336,4,Moderate,High,High
25,37,0,1990,10,43,22,0.1462,0.08975,0.1288286,0.1239286,127.03,91.5,94.52,26.77142857,298.9028571,299.0428571,32.2,21.7,300.9,297.2,7.628571429,1.8,17.75,296.2571429,85.50285714,0.28280340425148137,0,0,0,1990-10-22,dry_season,3.6375861597263857,2449.585714155,1,43.0,37.666666666666664,4,Cool,High,High
26,57,0,1990,10,44,29,0.25225,0.1834333,0.318,0.2959,101.35,6.3,22.26,27.97142857,299.7271429,299.7785714,33.3,22.8,301.4,298.5,8.642857143,1.785714286,18.03428571,296.5342857,82.78714286,0.7417187083363594,0,0,0,1990-10-29,dry_season,4.060443010546419,176.219999991,1,37.0,45.666666666666664,4,Hot,Low,High
27,71,0,1990,11,45,5,0.1526,0.181775,0.1783286,0.1866286,20.46,6.6,14.4,28.47142857,299.9728571,300.0357143,33.3,23.9,302.2,298.5,8.428571429,2.385714286,18.07428571,296.5642857,81.71571429,1.062959421195774,0,0,0,1990-11-05,dry_season,4.276666119016055,187.911428562,1,57.0,55.0,4,Hot,Low,High
28,44,0,1990,11,46,12,0.2908,0.2246,0.1803857,0.2348857,20.0,38.9,7.1,27.54285714,300.35,300.5,32.8,22.2,302.3,298.8,8.6,2.2,17.08571429,295.6871429,75.72857143,0.44342376068118866,0,0,0,1990-11-12,dry_season,3.8066624897703196,1071.4171427459999,1,71.0,57.333333333333336,4,Moderate,Medium,Medium
29,56,0,1990,11,47,19,0.2722,0.33035,0.1316333,0.1253833,20.04,9.6,36.7,26.8,299.5114286,299.6357143,31.7,22.2,301.6,297.0,7.414285714,2.528571429,16.75285714,295.3757143,78.15142857,0.7187729431321155,0,0,0,1990-11-19,dry_season,4.04305126783455,257.28,1,44.0,57.0,4,Moderate,Low,Medium
30,53,0,1990,11,48,26,0.1367667,0.216525,0.1767857,0.1415857,33.61,26.7,44.3,26.2,298.2385714,298.2642857,31.1,20.6,300.2,296.5,7.128571429,1.985714286,16.20857143,294.8114286,81.38571429,0.6499356475193838,0,0,0,1990-11-26,dry_season,3.9889840465642745,699.54,1,56.0,51.0,4,Cool,Medium,Medium
31,52,0,1990,12,49,3,0.1098,0.0886,0.2667833,0.2517,9.96,69.0,71.8,25.98571429,298.5428571,298.6857143,29.4,22.2,300.8,296.7,5.542857143,2.057142857,16.16142857,294.7828571,79.90857143,0.6269898823151399,0,0,0,1990-12-03,rainy_season,3.970291913552122,1793.01428601,1,53.0,53.666666666666664,4,Cool,High,Medium
32,47,0,1990,12,50,10,0.12135,0.26166,0.1913857,0.2099857,0.0,2.8,4.1,24.68571429,298.2028571,298.2785714,29.4,19.4,300.6,296.1,7.771428571,2.985714286,13.61571429,292.0042857,68.72285714,0.5122610562939204,0,0,0,1990-12-10,rainy_season,3.871201010907891,69.12000001199999,1,52.0,50.666666666666664,4,Cool,Low,Low
33,26,0,1990,12,51,17,0.2931333,0.2668667,0.2608571,0.3027286,52.45,19.8,32.31,25.71428571,298.2971429,298.3785714,30.6,21.1,300.9,296.0,6.585714286,2.871428571,15.95428571,294.5585714,80.08285714,0.03039998700479844,0,0,0,1990-12-17,rainy_season,3.295836866004329,509.142857058,0,47.0,41.666666666666664,4,Cool,Medium,Low
34,27,0,1990,12,52,24,0.3025,0.2772333,0.1712667,0.1616222,0.0,20.9,5.46,25.15714286,298.0385714,298.0857143,28.9,21.1,299.8,295.3,5.842857143,2.285714286,13.68285714,292.1057143,69.68142857,0.05334575220904234,0,0,0,1990-12-24,rainy_season,3.332204510175204,525.784285774,0,26.0,33.333333333333336,4,Cool,Medium,Low
35,21,0,1991,1,1,1,0.1465,0.1404667,0.1515,0.1673143,0.0,5.3,4.8,24.38571429,297.06,297.1357143,29.4,18.9,299.0,293.9,7.457142857,2.528571429,13.51142857,291.9071429,72.93857143,-0.08432883901642106,0,0,0,1991-01-01,rainy_season,3.091042453358316,129.24428573699998,0,27.0,24.666666666666668,1,Cool,Low,Low
36,21,0,1991,1,2,8,0.1422935374167987,0.1004667,0.2519,0.1376167,15.85,31.7,26.33,24.91428571,297.6742857,297.8285714,28.3,21.1,299.3,295.8,6.314285714,1.885714286,14.67142857,293.2828571,76.62857143,-0.08432883901642106,0,0,0,1991-01-08,rainy_season,3.091042453358316,789.7828570070001,0,21.0,23.0,1,Cool,Medium,Low
37,26,0,1991,1,3,15,0.1422935374167987,0.2935667,0.2599429,0.2179,0.0,16.5,27.4,25.24285714,297.4228571,297.6571429,29.4,21.1,299.3,296.1,6.571428571,2.0,14.79857143,293.4128571,78.5,0.03039998700479844,0,0,0,1991-01-15,rainy_season,3.295836866004329,416.50714281,0,21.0,22.666666666666668,1,Cool,Medium,Low
38,34,0,1991,1,4,22,0.3313,0.3093333,0.2210286,0.2027571,0.0,6.8,0.7,24.71428571,297.8842857,298.15,29.4,18.3,300.3,296.0,7.771428571,2.557142857,13.87857143,292.3828571,71.59714286,0.21396610863874965,0,0,0,1991-01-22,rainy_season,3.5553480614894135,168.057142828,1,26.0,27.0,1,Cool,Low,Low
39,37,0,1991,1,5,29,0.0917,0.246425,0.2438571,0.1956,0.0,5.9,5.7,24.82857143,298.0442857,298.2285714,30.0,18.9,300.1,295.0,8.157142857,2.771428571,14.04428571,292.5728571,71.78428571,0.28280340425148137,0,0,0,1991-01-29,rainy_season,3.6375861597263857,146.48857143700002,1,34.0,32.333333333333336,1,Cool,Low,Low
40,17,0,1991,2,6,5,0.3801,0.2285667,0.2550429,0.2258,0.0,7.3,19.69,25.05714286,297.74,297.9285714,30.0,20.6,299.7,295.0,6.885714286,2.428571429,14.54142857,293.15,75.79428571,-0.17611189983339667,0,0,0,1991-02-05,rainy_season,2.8903717578961645,182.917142878,0,37.0,29.333333333333332,1,Cool,Low,Low
41,19,0,1991,2,7,12,0.0712,0.2211,0.2762429,0.2673429,18.05,5.6,21.4,25.14285714,296.8842857,297.1142857,32.2,18.9,300.2,294.1,8.871428571,3.2,14.46,292.9728571,78.89571429,-0.13022036942490886,0,0,0,1991-02-12,rainy_season,2.995732273553991,140.79999998399998,0,17.0,24.333333333333332,1,Cool,Low,Low
42,25,0,1991,2,8,19,0.1422935374167987,0.2094,0.1084333,0.1194,0.0,17.8,26.2,25.84285714,297.4142857,297.6142857,32.2,20.0,300.1,295.8,8.471428571,2.571428571,15.03571429,293.6314286,79.74,0.007454221800554539,0,0,0,1991-02-19,rainy_season,3.258096538021482,460.002857092,0,19.0,20.333333333333332,1,Cool,Medium,Low
43,18,0,1991,2,9,26,0.1702,0.2086,0.13752,0.1914333,31.79,30.7,23.8,25.25714286,297.5057143,297.8285714,30.6,20.0,299.8,295.8,7.2,2.114285714,14.79428571,293.4071429,77.97714286,-0.15316613462915277,0,0,0,1991-02-26,rainy_season,2.9444389791664403,775.3942858019999,0,25.0,20.666666666666668,1,Cool,Medium,Low
44,21,0,1991,3,10,5,0.21075,0.2641,0.2476857,0.2163571,0.0,10.9,8.3,26.01428571,297.7771429,298.0785714,31.1,20.6,300.3,296.4,8.314285714,2.242857143,14.92,293.5314286,77.31571429,-0.08432883901642106,0,0,0,1991-03-05,rainy_season,3.091042453358316,283.555714239,0,18.0,21.333333333333332,1,Cool,Low,Low
45,17,0,1991,3,11,12,0.1422935374167987,0.1305525761047008,0.21325,0.2405429,0.0,3.6,13.37,25.92857143,297.4314286,297.6357143,31.7,20.6,300.1,295.7,8.971428571,2.728571429,14.78714286,293.3357143,78.13857143,-0.17611189983339667,0,0,0,1991-03-12,rainy_season,2.8903717578961645,93.34285714800001,0,21.0,18.666666666666668,1,Cool,Low,Low
46,17,0,1991,3,12,19,0.1279,0.1784,0.1470143,0.1593,0.0,5.7,11.1,26.08571429,297.4071429,297.6142857,32.2,21.1,300.4,295.4,6.971428571,2.542857143,14.74571429,293.2542857,77.88285714,-0.17611189983339667,0,0,0,1991-03-19,rainy_season,2.8903717578961645,148.688571453,0,17.0,18.333333333333332,1,Cool,Low,Low
47,16,0,1991,3,13,26,0.28035,0.223575,0.2478833,0.2473857,0.0,26.9,21.26,26.05714286,297.47,297.6928571,32.2,22.2,301.0,295.7,6.585714286,2.757142857,15.14857143,293.74,80.00142857,-0.19905766503764058,0,0,0,1991-03-26,rainy_season,2.833213344056216,700.9371429339999,0,17.0,16.666666666666668,1,Cool,Medium,Low
48,16,0,1991,4,14,2,0.1691,0.216825,0.2605143,0.2219714,12.92,4.1,20.9,25.24285714,297.0642857,297.1857143,28.9,20.6,299.4,295.4,6.814285714,2.285714286,13.99142857,292.48,75.66285714,-0.19905766503764058,0,0,0,1991-04-02,dry_season,2.833213344056216,103.495714274,0,16.0,16.333333333333332,2,Cool,Low,Low
49,15,0,1991,4,15,9,0.1765,0.2763,0.1845333,0.1773667,6.0,18.8,19.78,25.3,297.3728571,297.6571429,28.9,21.1,299.2,295.9,6.514285714,2.628571429,14.99285714,293.6157143,79.62857143,-0.2220034302418845,0,0,0,1991-04-09,dry_season,2.772588722239781,475.64000000000004,0,16.0,15.666666666666666,2,Cool,Medium,Low
50,23,0,1991,4,16,16,0.0774,0.1024,0.16355,0.2061667,44.57,19.4,21.9,25.51428571,297.2842857,297.3928571,29.4,21.1,298.9,296.0,6.271428571,2.014285714,13.73285714,292.17,73.35142857,-0.03843730860793326,0,0,0,1991-04-16,dry_season,3.1780538303479458,494.97714277399996,0,15.0,18.0,2,Cool,Medium,Low
51,16,0,1991,4,17,23,0.1422935374167987,0.18845,0.1883143,0.2249429,32.72,3.5,19.7,26.52857143,298.0742857,298.2357143,32.8,21.7,299.6,296.7,8.014285714,2.3,15.46142857,294.0285714,78.44714286,-0.19905766503764058,0,0,0,1991-04-23,dry_season,2.833213344056216,92.850000005,0,23.0,18.0,2,Cool,Low,Low
52,17,0,1991,4,18,30,0.2091667,0.160575,0.1761714,0.1761714,0.0,2.8,8.38,27.31428571,298.8314286,299.0714286,32.2,22.8,301.0,297.1,7.714285714,2.8,16.31428571,294.97,79.36,-0.17611189983339667,0,0,0,1991-04-30,dry_season,2.8903717578961645,76.47999998799999,0,16.0,18.666666666666668,2,Moderate,Low,Medium
53,12,0,1991,5,19,7,0.11595,0.180175,0.1063857,0.1111857,35.38,40.2,20.6,26.92857143,298.6385714,298.7214286,31.7,22.8,300.9,297.2,6.928571429,2.414285714,16.18571429,294.8128571,79.54142857,-0.2908407258546162,0,0,0,1991-05-07,dry_season,2.5649493574615367,1082.5285714860001,0,17.0,15.0,2,Moderate,High,Medium
54,17,0,1991,5,20,14,0.1422935374167987,0.10455,0.15115,0.0964,4.16,32.8,35.37,26.52857143,298.3257143,298.4071429,30.6,22.8,300.1,296.6,6.585714286,2.5,15.97428571,294.6185714,80.06714286,-0.17611189983339667,0,0,0,1991-05-14,dry_season,2.8903717578961645,870.1371429039999,0,12.0,15.333333333333334,2,Cool,Medium,Low
55,10,0,1991,5,21,21,0.0669,0.1335667,0.09711667,0.1356,51.16,3.6,59.3,27.38571429,298.5842857,298.4571429,31.7,22.8,300.4,297.0,6.7,1.857142857,16.50142857,295.1242857,81.30142857,-0.336732256263104,0,0,0,1991-05-21,dry_season,2.3978952727983707,98.588571444,0,17.0,13.0,2,Moderate,Low,Medium
56,15,0,1991,5,22,28,0.1401,0.1594667,0.2143167,0.2571,55.37,5.6,43.4,27.94285714,298.8085714,298.8857143,33.3,23.3,301.1,297.3,7.014285714,2.142857143,16.64571429,295.2742857,81.08857143,-0.2220034302418845,0,0,0,1991-05-28,dry_season,2.772588722239781,156.479999984,0,10.0,14.0,2,Hot,Low,Medium
57,19,0,1991,6,23,4,0.08585,0.087,0.1196,0.1659286,8.08,20.6,5.0,28.07142857,299.5185714,299.75,33.3,23.3,301.6,297.4,7.5,2.871428571,16.32428571,294.9257143,76.07428571,-0.13022036942490886,0,0,0,1991-06-04,dry_season,2.995732273553991,578.271428542,0,15.0,14.666666666666666,2,Hot,Medium,Medium
58,21,0,1991,6,24,11,0.1091,0.1564667,0.1734286,0.1739714,6.09,9.4,5.82,28.22857143,299.8914286,300.0714286,33.9,23.9,301.8,298.4,7.971428571,2.4,16.88285714,295.4928571,77.03571429,-0.08432883901642106,0,0,0,1991-06-11,dry_season,3.091042453358316,265.348571442,0,19.0,18.333333333333332,2,Hot,Low,Medium
59,14,0,1991,6,25,18,0.0596,0.09235,0.1301286,0.1306429,44.25,3.3,17.0,28.92857143,299.7757143,299.9714286,33.9,25.0,301.9,298.4,7.142857143,2.171428571,17.70428571,296.3,81.42142857,-0.24494919544612836,0,0,0,1991-06-18,dry_season,2.70805020110221,95.464285719,0,21.0,18.0,2,Hot,Low,Medium
60,18,0,1991,6,26,25,0.07965,0.122,0.1851143,0.1582429,73.76,12.4,37.8,27.91428571,299.41,299.4785714,32.8,22.8,302.5,297.7,7.4,2.042857143,17.62857143,296.2285714,82.74571429,-0.15316613462915277,0,0,0,1991-06-25,dry_season,2.9444389791664403,346.137142804,0,14.0,17.666666666666668,2,Moderate,Low,Medium
61,13,0,1991,7,27,2,0.1422935374167987,0.1779333,0.2015286,0.1981571,26.7,24.7,51.99,28.37142857,299.3714286,299.3857143,32.8,23.9,302.4,297.4,6.6,2.142857143,17.35285714,295.9457143,81.69428571,-0.26789496065037227,0,0,0,1991-07-02,dry_season,2.6390573296152584,700.774285679,0,18.0,15.0,3,Hot,Medium,Medium
62,14,0,1991,7,28,9,0.0969,0.1305525761047008,0.13805,0.1679167,6.13,4.6,18.7,28.41428571,300.0014286,300.1714286,32.8,24.4,302.1,297.9,6.671428571,2.428571429,17.15142857,295.7914286,77.87714286,-0.24494919544612836,0,0,0,1991-07-09,dry_season,2.70805020110221,130.705714266,0,13.0,15.0,3,Hot,Low,Medium
63,18,0,1991,7,29,16,0.1422935374167987,0.07733333,0.09982857,0.1166429,29.67,12.2,23.6,28.8,300.2342857,300.3428571,33.9,23.9,302.2,298.6,6.914285714,2.428571429,17.47285714,296.0814286,78.24142857,-0.15316613462915277,0,0,0,1991-07-16,dry_season,2.9444389791664403,351.36,0,14.0,15.0,3,Hot,Low,Medium
64,23,0,1991,7,30,23,0.0801,0.00805,0.1380333,0.1290667,56.58,43.1,27.4,28.0,299.8085714,299.9785714,32.8,24.4,302.1,298.2,5.885714286,2.242857143,17.73428571,296.3328571,81.48285714,-0.03843730860793326,0,0,0,1991-07-23,dry_season,3.1780538303479458,1206.8,0,18.0,18.333333333333332,3,Hot,High,Medium
65,25,0,1991,7,31,30,0.1422935374167987,0.1305525761047008,0.1906429,0.1593286,48.41,18.0,34.39,28.57142857,299.8528571,299.9642857,33.3,25.0,302.0,298.3,6.342857143,2.3,17.87857143,296.4785714,81.89714286,0.007454221800554539,0,0,0,1991-07-30,dry_season,3.258096538021482,514.28571426,0,23.0,22.0,3,Hot,Medium,High
66,62,0,1991,8,32,6,0.07315,0.1124,0.1925857,0.2093571,13.29,12.5,31.5,28.5,299.8314286,299.8642857,32.8,24.4,301.8,298.1,6.514285714,2.242857143,17.89571429,296.4685714,81.96,0.8564475343575789,0,0,0,1991-08-06,dry_season,4.143134726391533,356.25,1,25.0,36.666666666666664,3,Hot,Low,High
67,60,0,1991,8,33,13,0.0593,0.1305525761047008,0.1551,0.1567,0.0,3.3,20.4,29.42857143,300.42,300.65,33.3,25.6,302.8,298.7,5.471428571,2.185714286,17.91142857,296.4842857,79.19714286,0.8105560039490911,0,0,0,1991-08-13,dry_season,4.110873864173311,97.114285719,1,62.0,49.0,3,Hot,Low,High
68,76,0,1991,8,34,20,0.0569,0.09814,0.1285143,0.1437286,51.88,1.5,25.47,29.27142857,300.3114286,300.3857143,34.4,24.4,302.6,298.3,7.514285714,2.4,18.01142857,296.5814286,80.25571429,1.1776882472169936,0,0,0,1991-08-20,dry_season,4.343805421853684,43.907142855000004,1,60.0,66.0,3,Hot,Low,High
69,66,0,1991,8,35,27,0.0693,0.05705,0.22504,0.1864,55.2,10.7,23.8,28.15714286,300.1171429,300.2,32.2,23.9,302.3,298.6,7.0,2.371428571,18.09142857,296.67,81.59428571,0.9482305951745545,0,0,0,1991-08-27,dry_season,4.204692619390966,301.281428602,1,76.0,67.33333333333333,3,Hot,Low,High
70,64,0,1991,9,36,3,0.10805,0.091675,0.1398,0.1624143,65.9,27.2,42.33,28.94285714,300.1057143,300.15,34.4,24.4,302.3,298.4,7.542857143,2.128571429,18.26285714,296.7985714,82.31,0.9023390647660667,0,0,0,1991-09-03,dry_season,4.174387269895637,787.245714208,1,66.0,68.66666666666667,3,Hot,Medium,High
71,68,0,1991,9,37,10,0.10475,0.1598333,0.11208,0.1446429,33.56,61.0,11.4,28.97142857,300.54,300.6357143,33.9,23.3,302.8,298.7,7.7,3.042857143,17.89571429,296.4514286,78.62714286,0.9941221255830424,0,0,0,1991-09-10,dry_season,4.23410650459726,1767.25714277,1,64.0,66.0,3,Hot,High,High
72,89,0,1991,9,38,17,0.1098,0.1527333,0.1685714,0.1688714,29.53,7.9,28.8,28.91428571,300.5271429,300.6,33.3,24.4,303.0,298.8,6.8,2.457142857,18.4,296.9014286,80.87714286,1.4759831948721642,0,0,0,1991-09-17,dry_season,4.499809670330265,228.42285710900003,1,68.0,73.66666666666667,3,Hot,Low,High
73,92,0,1991,9,39,24,0.1676,0.1489,0.1714286,0.2181429,73.55,31.8,77.5,28.14285714,300.06,300.05,32.8,24.4,302.4,298.2,6.685714286,2.071428571,18.04428571,296.59,81.42428571,1.544820490484896,0,0,0,1991-09-24,dry_season,4.532599493153256,894.942857052,1,89.0,83.0,3,Hot,Medium,High
